county_fips,state,mean_risk,max_risk,n_years,risk_rank
13085,GA,0.27274847931636914,0.6302659329002845,9,1574
18111,IN,0.2722974965310331,0.7110304543653866,7,1575
55097,WI,0.2721407611889769,0.5061732495113237,5,1576
28127,MS,0.27195280745286177,0.4776364520672004,10,1577
22049,LA,0.2714802582951163,0.5849294036457596,7,1578
51159,VA,0.271400090131218,0.5155522506682478,7,1579
47095,TN,0.2713676182982463,0.8683495027841189,8,1580
06091,CA,0.2712942658740009,0.29805310028447296,5,1581
51119,VA,0.2711532126158949,0.5475055257842938,7,1582
18033,IN,0.27113862593433097,0.5932113161164966,6,1583
39067,OH,0.2709775467849202,0.6781474321763479,6,1584
01071,AL,0.2707754225491467,0.8115749569075861,11,1585
48093,TX,0.270515068629248,0.6479624824828837,9,1586
20009,KS,0.2702390776100267,0.6798570194201391,14,1587
37197,NC,0.270234087557437,0.5933795295118401,8,1588
32013,NV,0.27011454130411244,0.5107358433317596,3,1589
36075,NY,0.27009716513004445,0.5584254610747486,9,1590
29221,MO,0.2699549123619457,0.5327157833785054,10,1591
51089,VA,0.26972006516098623,0.7630918980752934,5,1592
19041,IA,0.26960541949241335,0.7322912025351059,11,1593
20011,KS,0.26954178799225237,0.5588853243463218,9,1594
01127,AL,0.26948911228643335,0.8029062277703046,9,1595
21213,KY,0.26937150299853796,0.6920673788587196,7,1596
19123,IA,0.26892976357611476,0.6324169100524778,8,1597
19165,IA,0.268765815444193,0.5483374426381835,8,1598
13027,GA,0.2685408211714351,0.6043613310527335,8,1599
27089,MN,0.2683370662663533,0.6472131010003241,13,1600
17105,IL,0.26833112070728504,0.590876389686061,5,1601
21131,KY,0.2678282838284025,0.783470201741268,13,1602
46081,SD,0.2676787502769008,0.5075805417368786,6,1603
27053,MN,0.26719531315513584,0.4543938855583201,8,1604
13303,GA,0.2671178191634124,0.7789563011920971,7,1605
48365,TX,0.2670945578492995,0.8174689186924448,7,1606
47005,TN,0.2668460272967566,0.597359839987385,9,1607
47075,TN,0.2665966248026767,0.5660570332405511,9,1608
51079,VA,0.2665058056374402,0.6268923444133235,8,1609
47171,TN,0.266476252193272,0.4888172333548855,5,1610
12125,FL,0.2664750139775097,0.5674744723984415,14,1611
17195,IL,0.266351893779695,0.5320430682868246,6,1612
27155,MN,0.26618458351171187,0.8159150260466953,13,1613
45061,SC,0.2658616777101483,0.6645582399113399,12,1614
18167,IN,0.2658393090555723,0.5776091478731424,4,1615
21181,KY,0.2655912044822517,0.7365677831422165,12,1616
39055,OH,0.2655115876677174,0.6114695931065924,6,1617
13091,GA,0.26528345076991383,0.5587214345854394,7,1618
13107,GA,0.26488890407895116,0.6323296813992856,10,1619
54067,WV,0.2648066641535308,0.7345362834609944,8,1620
35015,NM,0.26364602103201157,0.5203204133041839,6,1621
18101,IN,0.2635976968490045,0.48894261963818647,5,1622
38061,ND,0.2633573257110656,0.6548378009294699,10,1623
13227,GA,0.26289041576590766,0.717818828449391,10,1624
39073,OH,0.2627858475608119,0.7442774286024162,7,1625
19107,IA,0.2627001499858534,0.6045048024671267,8,1626
27123,MN,0.26262987945256955,0.49226185431840297,6,1627
26093,MI,0.2625489914514734,0.570849182147846,4,1628
